"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 17 09:36:33 UTC 2026","Fri Apr 17 09:36:39 UTC 2026","5154","","test.my.UserPageTest","","test.my.UserPageTest","pageTest","pageTest()",""
"passed","Fri Apr 17 09:36:28 UTC 2026","Fri Apr 17 09:36:33 UTC 2026","5617","","test.my.TextBoxTest","","test.my.TextBoxTest","textBoxTest","textBoxTest()",""
